frame,frame_ms,terrain_ms,spaceship_ms,launchpad_ms,viewA_ms,viewB_ms,cpuRender_ms,cpuFrame_ms
0,16.7946,2.49242,0.003072,0.024576,2.5303,2.52416,16.4695,16.5081
1,16.6707,2.4873,0.003072,0.024576,2.5303,2.51802,16.8038,16.8415
2,16.5059,2.49139,0.003072,0.024576,2.52723,2.52314,16.4962,16.5488
0,16.6164,2.50675,0.002048,0.024576,2.5344,2.53747,16.4942,16.5272
1,16.6277,2.49139,0.003072,0.023552,2.52109,2.52211,16.6093,16.6384
2,16.6277,2.49446,0.002048,0.024576,2.51597,2.52518,16.5539,16.5868
0,17.3896,2.5047,0.002048,0.026624,2.53338,2.53542,16.595,16.6248
1,16.0932,2.49344,0.002048,0.0256,2.52211,2.52518,17.4062,17.4396
2,16.7199,2.50061,0.003072,0.0256,2.52723,2.53338,15.9025,15.9368
0,16.8366,2.50266,0.003072,0.023552,2.52826,2.53338,16.6694,16.7025
1,16.5868,2.48627,0.003072,0.023552,2.5303,2.51699,16.7289,16.7554
2,16.4506,2.49037,0.003072,0.022528,2.53542,2.52109,16.5322,16.559
0,16.6195,2.49037,0.003072,0.024576,2.53952,2.52109,16.4351,16.4593
1,17.0342,2.49344,0.003072,0.024576,2.5303,2.52518,16.581,16.6185
2,16.3082,2.50061,0.003072,0.024576,2.53235,2.53235,16.8836,16.9094
0,16.6595,2.49958,0.004096,0.023552,2.54566,2.52928,16.3431,16.4021
1,16.9032,2.49549,0.003072,0.024576,2.54054,2.52621,16.9707,16.9976
2,16.7895,2.48934,0.003072,0.024576,2.53338,2.52211,16.3743,16.4167
0,16.5775,2.50061,0.003072,0.0256,2.53235,2.53235,16.6835,16.7256
1,16.4741,2.49446,0.003072,0.023552,2.52826,2.52518,16.5746,16.6023
2,16.7967,2.50368,0.003072,0.024576,2.53645,2.53542,16.5208,16.5441
0,16.6523,2.48627,0.003072,0.023552,2.51494,2.51597,16.6135,16.6339
1,17.2595,2.5129,0.003072,0.0256,2.52928,2.54464,16.7283,16.7485
2,17.2718,2.50573,0.003072,0.022528,2.52314,2.53542,17.1682,17.2069
0,16.6461,2.49242,0.003072,0.023552,2.5344,2.52109,17.2179,17.2437
1,16.6758,2.49958,0.002048,0.024576,2.52006,2.5303,16.5956,16.6225
2,16.6349,2.49549,0.003072,0.023552,2.52211,2.52621,16.6207,16.642
0,16.7649,2.46989,0.002048,0.024576,2.50982,2.50061,16.5955,16.617
1,15.3743,2.46886,0.003072,0.024576,2.50163,2.49958,16.722,16.7461
2,16.8796,2.47296,0.003072,0.022528,2.50368,2.50163,15.3985,15.4222
0,16.554,2.47501,0.003072,0.023552,2.51699,2.5047,16.6564,16.6996
1,16.9452,2.46784,0.003072,0.024576,2.5129,2.49856,16.5004,16.5351
2,16.7363,2.46784,0.002048,0.024576,2.50368,2.49856,16.8253,16.8521
0,17.3548,2.46784,0.003072,0.024576,2.50982,2.49958,16.7403,16.764
1,16.3174,2.47194,0.003072,0.023552,2.50061,2.50266,16.5792,16.5993
2,17.4162,2.46477,0.002048,0.023552,2.50368,2.49651,17.014,17.0561
0,15.8577,2.47706,0.001024,0.0256,2.49344,2.50778,17.2623,17.3146
1,16.8315,2.46886,0.002048,0.0256,2.5047,2.49958,15.7371,15.7741
2,17.1295,2.46477,0.004096,0.023552,2.50266,2.49651,16.827,16.8663
0,16.0369,2.33472,0.002048,0.023552,2.35315,2.36339,17.0296,17.0514
1,16.1802,2.31834,0.003072,0.021504,2.36749,2.34701,16.1323,16.1525
2,16.471,2.32755,0.003072,0.022528,2.36134,2.35725,16.0463,16.0677
0,16.6799,2.3296,0.003072,0.023552,2.36954,2.35827,16.3826,16.4088
1,16.6543,2.32755,0.003072,0.023552,2.35725,2.35725,16.622,16.6501
2,16.6216,2.33472,0.003072,0.023552,2.37363,2.36339,16.6113,16.6354
0,16.4946,2.32755,0.002048,0.024576,2.36032,2.35622,16.6182,16.6503
1,16.8745,2.32448,0.004096,0.021504,2.36851,2.35315,16.3751,16.4135
2,17.5585,2.3255,0.002048,0.022528,2.3552,2.35418,16.9564,16.979
0,17.0527,2.31834,0.003072,0.022528,2.35827,2.34701,17.4608,17.486
1,15.7573,2.31936,0.002048,0.022528,2.35213,2.34803,16.9748,17.009
2,16.1065,2.32755,0.003072,0.022528,2.35827,2.35622,15.6438,15.6829
0,17.0424,2.32448,0.003072,0.021504,2.36339,2.35213,16.1927,16.2149
1,16.4035,2.32243,0.003072,0.022528,2.36339,2.35213,16.8783,16.9104
2,16.5827,2.33472,0.002048,0.021504,2.3593,2.36237,16.3535,16.3799
0,16.5919,2.33574,0.003072,0.021504,2.3552,2.36442,16.6055,16.6342
1,16.6789,2.32038,0.003072,0.021504,2.35725,2.35008,16.552,16.5911
2,16.7117,2.3337,0.003072,0.022528,2.35827,2.36237,16.6285,16.6578
0,16.469,2.32858,0.003072,0.022528,2.36954,2.35725,16.6428,16.6666
1,17.4797,2.33779,0.003072,0.022528,2.37158,2.36544,16.4895,16.5149
2,16.0184,2.33062,0.003072,0.022528,2.36646,2.3593,17.3092,17.3463
0,16.6502,2.33574,0.004096,0.021504,2.35827,2.36442,16.0349,16.0612
1,16.5949,2.32243,0.003072,0.021504,2.35622,2.3511,16.5932,16.6219
2,16.5939,2.33472,0.003072,0.023552,2.36851,2.36442,16.5511,16.5766
0,16.9626,2.33574,0.003072,0.023552,2.36749,2.36442,16.5475,16.5689
1,16.7086,2.33062,0.003072,0.021504,2.36851,2.35725,16.7711,16.7932
2,16.3103,2.33677,0.003072,0.021504,2.37363,2.36544,16.6605,16.6944
0,17.0527,2.32653,0.003072,0.023552,2.37363,2.35622,16.3746,16.4148
1,16.7434,2.33062,0.003072,0.022528,2.3593,2.35827,16.888,16.9142
2,19.9178,2.33062,0.003072,0.021504,2.36749,2.3593,16.7053,16.7318
0,13.3079,2.32858,0.002048,0.023552,2.35315,2.35827,19.776,19.8077
1,16.5612,2.34086,0.002048,0.022528,2.36442,2.36851,13.4045,13.4331
2,16.4209,2.33472,0.002048,0.022528,2.35827,2.36339,16.3569,16.388
0,16.639,2.32448,0.002048,0.022528,2.37466,2.35315,16.497,16.5298
1,16.8223,2.32243,0.003072,0.022528,2.35622,2.3511,17.0403,17.0701
2,16.6441,2.32858,0.003072,0.022528,2.37466,2.35827,16.2972,16.325
0,16.6605,2.3296,0.003072,0.022528,2.35315,2.3593,16.617,16.6446
1,16.4567,2.31117,0.002048,0.023552,2.36237,2.33984,16.5811,16.6126
2,16.8561,2.33472,0.003072,0.022528,2.36749,2.36442,16.4676,16.4977
0,16.9912,2.3255,0.002048,0.023552,2.36339,2.3552,16.7412,16.7677
1,16.2898,2.33267,0.003072,0.021504,2.36646,2.36134,16.8207,16.8474
2,17.2165,2.32858,0.004096,0.022528,2.36339,2.35622,16.2991,16.3282
0,16.0922,2.33267,0.002048,0.023552,2.34803,2.36134,17.1514,17.1785
1,16.5683,2.33677,0.002048,0.022528,2.36646,2.36544,16.0772,16.1175
2,17.4449,2.32858,0.003072,0.022528,2.35725,2.35827,16.6244,16.6487
0,16.1044,2.32755,0.003072,0.021504,2.36237,2.35622,17.2143,17.2379
1,16.8008,2.3255,0.002048,0.023552,2.36851,2.3552,16.1386,16.1657
2,16.3942,2.33062,0.002048,0.022528,2.36339,2.3593,16.6087,16.6354
0,16.6062,2.32653,0.003072,0.022528,2.35622,2.3552,16.5301,16.5547
1,16.7434,2.33574,0.003072,0.022528,2.36646,2.36442,16.5744,16.5986
2,16.684,2.33882,0.003072,0.023552,2.35418,2.36749,16.6463,16.6706
0,16.5386,2.33574,0.003072,0.021504,2.30502,2.36339,16.5138,16.5507
1,16.7731,2.33267,0.002048,0.022528,2.28864,2.36032,16.509,16.5353
2,16.6595,2.32346,0.003072,0.022528,2.29786,2.35315,16.7291,16.7506
0,16.897,2.33472,0.002048,0.021504,2.28864,2.36237,16.5688,16.5905
1,16.4762,2.32653,0.003072,0.022528,2.29478,2.35418,16.5298,16.5558
2,17.1602,2.33165,0.003072,0.022528,2.28864,2.36134,16.5095,16.5478
0,16.4731,2.3255,0.003072,0.022528,2.28966,2.3552,17.0872,17.1131
1,16.2458,2.31834,0.004096,0.023552,2.29171,2.34701,16.0087,16.0495
2,16.7127,2.32141,0.003072,0.023552,2.29683,2.3511,16.3903,16.4299
0,16.6369,2.33062,0.003072,0.022528,2.30298,2.3593,16.6598,16.6814
1,16.5274,2.32653,0.003072,0.021504,2.30605,2.35418,16.628,16.6562
2,17.2165,2.3296,0.003072,0.022528,2.29786,2.35827,16.4943,16.5192
0,16.5949,2.34496,0.002048,0.021504,2.29171,2.37158,17.0184,17.0396
1,16.2796,2.32038,0.003072,0.022528,2.29376,2.35008,16.5341,16.5674
2,16.6615,2.32448,0.002048,0.023552,2.29069,2.35315,16.2628,16.3145
0,17.068,2.32858,0.003072,0.021504,2.30195,2.35622,16.6089,16.6481
1,16.3502,2.33779,0.003072,0.021504,2.29888,2.36544,16.9334,16.9537
2,17.1059,2.3255,0.002048,0.023552,2.30093,2.35418,16.3724,16.4036
0,16.4608,2.34906,0.004096,0.022528,2.29581,2.37773,16.9496,16.9779
1,16.5151,2.3255,0.002048,0.022528,2.29171,2.35315,16.4137,16.4418
2,17.111,2.32243,0.003072,0.022528,2.2999,2.35213,16.5732,16.6003
0,16.5581,2.33062,0.002048,0.023552,2.29581,2.3593,16.9751,17.0032
1,16.2785,2.32141,0.003072,0.022528,2.28454,2.3511,16.479,16.5081
2,17.1612,2.3296,0.003072,0.021504,2.31629,2.35827,16.2975,16.3286
0,16.1034,2.33882,0.003072,0.022528,2.29069,2.36851,17.0235,17.0533
